year	rep	type	DMY
2019	1	natural	0.18
2019	2	natural	0.06
2019	3	natural	0.075
2019	4	natural	0.1
2019	5	natural	0.22
2019	6	natural	0.195
2019	7	natural	0.131
2019	8	natural	0.102
2019	9	natural	0.065
2019	10	natural	0.105
2019	11	natural	0.09
2019	12	natural	0.3
2019	13	natural	0.14
2019	14	natural	0.15
2019	15	natural	0.44
2019	16	natural	0.304
2019	17	natural	0.209
2019	18	natural	1.28
2019	19	natural	1.2
2019	20	natural	1.52
2019	21	natural	1.5
2019	22	natural	1.1
2019	23	natural	1.16
2019	24	natural	1.52
2019	25	natural	0.67
2019	26	natural	1.59
2019	1	cultivated	0.326
2019	2	cultivated	0.25
2019	3	cultivated	0.36
2019	4	cultivated	0.4
2019	5	cultivated	0.105
2019	6	cultivated	0.11
2019	7	cultivated	0.195
2019	8	cultivated	0.29
2019	9	cultivated	0.23
2019	10	cultivated	0.51
2019	11	cultivated	0.075
2019	12	cultivated	0.055
2019	13	cultivated	0.23
2019	14	cultivated	0.42
2019	15	cultivated	0.33
2019	16	cultivated	0.612
2019	17	cultivated	1.3
2019	18	cultivated	1.952
2019	19	cultivated	4.7264
2019	20	cultivated	2.4696
2019	21	cultivated	2.5056
2019	22	cultivated	4.32
2019	23	cultivated	4.012
2019	24	cultivated	2.4696
2019	25	cultivated	0.86
2019	26	cultivated	0.56
2020	1	natural	0.066
2020	2	natural	0.07
2020	3	natural	0.098
2020	4	natural	0.229
2020	5	natural	0.31
2020	6	natural	0.128
2020	7	natural	0.086
2020	8	natural	0.064
2020	9	natural	0.107
2020	10	natural	0.088
2020	11	natural	0.29
2020	12	natural	0.146
2020	13	natural	0.142
2020	14	natural	0.448
2020	15	natural	0.298
2020	16	natural	2.4192
2020	17	natural	0.5
2020	18	natural	0.28
2020	19	natural	0.92
2020	20	natural	2.226
2020	21	natural	0.7
2020	22	natural	1.1904
2020	23	natural	0.4
2020	24	natural	0.5
2020	25	natural	0.74
2020	26	natural	2.56
2020	1	cultivated	1.7
2020	2	cultivated	1.62
2020	3	cultivated	1.78
2020	4	cultivated	0.34
2020	5	cultivated	0.38
2020	6	cultivated	1.58
2020	7	cultivated	1.98
2020	8	cultivated	1.24
2020	9	cultivated	2.54
2020	10	cultivated	0.24
2020	11	cultivated	0.2
2020	12	cultivated	0.84
2020	13	cultivated	1.54
2020	14	cultivated	1.44
2020	15	cultivated	1.94
2020	16	cultivated	0.912
2020	17	cultivated	3.3792
2020	18	cultivated	0.4864
2020	19	cultivated	0.8928
2020	20	cultivated	1.0656
2020	21	cultivated	1.8816
2020	22	cultivated	1.953
2020	23	cultivated	2.96
2020	24	cultivated	3.536
2020	25	cultivated	3.944
2020	26	cultivated	2.62
